car_id,car_type,first_fast_charging_date,last_fast_charging_date,fast_degradation_rate_1,fast_degradation_rate_2,fast_degradation_rate_3,first_slow_charging_date,last_slow_charging_date,slow_degradation_rate_1,slow_degradation_rate_2,slow_degradation_rate_3,fast_degradation_rate_1_per_month,fast_degradation_rate_2_per_month,fast_degradation_rate_3_per_month,slow_degradation_rate_1_per_month,slow_degradation_rate_2_per_month,slow_degradation_rate_3_per_month
M2211120390,GV60,,,,,,2023-06-30 23:44:37,2023-10-19 23:43:15,9.32421361479986,-4.534918003635386,-11.486280583167554,,,,2.542967349490871,-1.2367958191732873,-3.132621977227515
M2211121225,GV60,,,,,,2023-07-22 21:55:55,2023-09-10 20:52:17,-29.36205131675786,6.882638424881356,6.451314520700607,,,,-17.97676611230073,4.213860260131442,3.949784400428943
M2211121953,GV60,2023-09-29 14:37:50,2023-09-29 14:37:50,0.0,0.0,0.0,2023-07-30 04:00:34,2023-10-29 06:00:48,4.864454395927627,2.8226656049220744,-12.57657639709616,,,,1.6036662843717453,0.9305491005237608,-4.146124086954778
M2211122774,GV60,2024-07-06 11:17:03,2024-07-06 11:17:03,0.0,0.0,0.0,2024-08-24 23:34:55,2024-09-19 00:44:54,1.0036928321181755,1.2529363682614356,1.1667724964435573,,,,1.2044313985418105,1.5035236419137226,1.4001269957322686
M2211122911,GV60,2024-05-20 16:22:09,2024-10-20 18:00:34,-297.41864831038805,-15.770073069687632,-14.12034666120772,2024-05-18 00:18:02,2024-10-31 00:55:45,-49.66660613053016,6.641799893095297,3.862269135020005,-58.31738202164472,-3.09217119013483,-2.7686954237662196,-8.975892674192199,1.2003252818846923,0.6980004460879528
M2220343146,GV60,2023-09-24 08:07:04,2023-09-24 11:31:19,-27.077055531640127,-5.972107257215375,-10.703689261710178,2023-07-16 00:06:24,2023-10-28 23:19:11,19.655273839637623,-0.4763993228635066,-3.963170492668228,,,,5.669790530664699,-0.1374228815952423,-1.1432222575004503
M2220343870,GV60,,,,,,2023-07-24 00:00:29,2023-07-24 00:00:29,0.0,0.0,0.0,,,,,,
M2220344138,GV60,2023-07-08 12:12:18,2023-09-10 01:27:43,71.11790633608817,-2.968970301704309,-2.8715145819475185,2023-07-21 01:56:57,2023-09-17 23:27:12,1.790295078032407,0.9210468584611348,-1.8468609501169988,33.86566968385151,-1.4137953817639568,-1.367387896165485,0.9260146955340036,0.47640354747989727,-0.9552729052329304
M2220344260,GV60,2024-10-03 02:39:38,2024-10-31 21:27:29,-44.17269884781776,-26.02715788377101,-23.281881005538168,2024-05-07 01:03:26,2024-09-14 23:11:34,-1.197243601572255,1.5887735551806497,13.355350864798426,-47.32789162266189,-27.886240589754653,-24.944872505933752,-0.2762869849782127,0.36664005119553456,3.082004045722714
M2220878266,GV60,2023-10-08 19:50:25,2023-10-08 19:50:25,0.0,0.0,0.0,2023-07-08 03:29:22,2023-10-23 03:18:44,-4.81928790830535,-4.134551002673172,-10.67362864052724,,,,-1.3639494080109482,-1.1701559441527845,-3.0208382944888412
